1721,Qinghai Salt Lake Industry,China,$2.14 B,$596.9 M,$4.05 B,$23.19 B
1731,Bank of Qingdao,China,$3.4 B,$452.7 M,$81.94 B,$2.52 B
1738,Li Ning,China,$3.5 B,$621.9 M,$4.75 B,$20.67 B
1739,Jiangxi Bank,China,$3.47 B,$320.6 M,$79.8 B,$1.23 B
1741,BeiGene,China,$1.18 B,$-1.41 B,$8.65 B,$35.18 B
1746,WuXi Biologics,China,$1.6 B,$525.2 M,$6.91 B,$30.22 B
1752,FAW Jiefang Group,China,$15.26 B,$604.7 M,$10.95 B,$5.91 B
1758,Shandong Hualu-Hengsheng Chemical,China,$4.11 B,$1.12 B,$4.5 B,$10.18 B
1769,Zhejiang Chint Electrics,China,$5.91 B,$946.1 M,$13.34 B,$10.5 B
1778,Bank of Suzhou,China,$3.13 B,$481.7 M,$71.08 B,$3.85 B
1788,Smoore International Holdings,China,$2.13 B,$819.4 M,$3.59 B,$13.28 B
1796,Qingdao Rural Commercial Bank,China,$2.94 B,$494.6 M,$66.41 B,$3.01 B
1805,Jointown Pharmaceutical Group,China,$18.8 B,$513 M,$13.43 B,$3.67 B
1807,NIO,China,$5.61 B,$-1.64 B,$13.01 B,$29.66 B
1813,Tongling Nonferrous Metals,China,$20.25 B,$480.9 M,$7.98 B,$6.07 B
1819,Qilu Bank,China,$2.14 B,$364.9 M,$64.47 B,$4.18 B
1825,Hubei Biocause Pharmaceutical,China,$6.52 B,$54.9 M,$39.13 B,$2.41 B
1827,Yunnan Copper Co. Ltd.,China,$19.63 B,$100.7 M,$6.14 B,$2.94 B
1831,Zhejiang Expressway Co. Ltd.,China,$2.52 B,$737.5 M,$27.66 B,$3.71 B
1838,Beijing Oriental Yuhong Waterproof Technology,China,$4.92 B,$652 M,$7.8 B,$16.72 B
1848,Bank of Lanzhou,China,$2.46 B,$216.3 M,$61.33 B,$4.76 B
1852,Digital China Group,China,$18.96 B,$36.9 M,$6.12 B,$1.42 B
1858,Aier Eye Hospital Group,China,$2.29 B,$335.1 M,$3.38 B,$28.38 B
1863,Cosco Shipping Development,China,$5.42 B,$942.4 M,$20.81 B,$2.69 B
1865,Huaibei Mining Holdings,China,$9.98 B,$741.2 M,$11.53 B,$5.66 B
1875,Zhangzhou Pientzehuang Pharmaceutical,China,$1.23 B,$377 M,$1.96 B,$27.54 B
1878,Yunnan Yuntianhua,China,$10.03 B,$734.3 M,$9.34 B,$6.76 B
1881,Anhui Water Resources Development,China,$11.02 B,$169.9 M,$19.91 B,$1.39 B
1885,Bank Of Gansu,China,$2.34 B,$88.3 M,$56.25 B,$1.98 B
1888,Yunnan Energy New Material,China,$1.42 B,$498.8 M,$4.4 B,$25.09 B
1895,Nanjing Iron & Steel,China,$11.69 B,$634.3 M,$9.05 B,$3.46 B
1899,Times Property Holdings,China,$6.83 B,$505.5 M,$31.13 B,$721 M
1912,Bank of Xi'an,China,$2.27 B,$429.6 M,$52.05 B,$2.64 B
1919,Shandong Iron and Steel,China,$17.14 B,$190.4 M,$11.38 B,$2.72 B
1931,Shanghai Fosun Pharmaceutical,China,$6.03 B,$734 M,$14.63 B,$10.21 B
1933,Xiamen Xinde,China,$16.82 B,$-23.8 M,$3.39 B,$501 M
1934,Shenzhen Inovance Technology,China,$2.79 B,$531.2 M,$4.25 B,$20.48 B
1944,Hainan Airlines Holding,China,$5.63 B,$-7.96 B,$33.03 B,$8.76 B
1947,Shanghai Yuyuan Tourist Mart,China,$7.53 B,$598.6 M,$20.63 B,$5.8 B
1956,Intco Medical Technology,China,$2.84 B,$1.47 B,$3.15 B,$3.33 B
1961,Huali Industrial Group,China,$2.71 B,$429.2 M,$2.54 B,$23.04 B
1966,AviChina Industry & Technology,China,$9.33 B,$367.3 M,$21.01 B,$4.08 B
1966,Weihai City Commercial Bank,China,$1.38 B,$587 M,$32.96 B,$2.46 B
1966,Zall Smart Commerce Group,China,$16.21 B,$-179.2 M,$9.3 B,$698 M
1974,Jinshang Bank,China,$1.92 B,$261.3 M,$47.6 B,$1.05 B
1983,China Petroleum Engineering,China,$11.95 B,$160.2 M,$16.49 B,$2.53 B
1985,Li Auto,China,$4.2 B,$-48.9 M,$9.7 B,$22.39 B
1989,Grandjoy Holdings Group,China,$6.36 B,$16.7 M,$33.38 B,$2.72 B
1993,Wingtech Technology,China,$7.93 B,$337.7 M,$11.09 B,$12.46 B
1995,Shenzhen Feima International Supply Chain Co. Ltd.,China,$37 M,$1.41 B,$166 M,$1.14 B
1997,Sichuan Changhong Electric,China,$15.72 B,$53.1 M,$12.11 B,$1.96 B
1999,Satellite Chemical,China,$4.41 B,$931.3 M,$7.64 B,$9.52 B
